StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Q35,Q56_1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q89,Q90,Q91,Q92,Q103,Q93,Q94,Q75,Q76,Q77,Q78,Q79,Q80,Q82,Q83,Q84,Q85,Q86,Q87,Q96,Q95,ApproachB_Feedback,ApproachC_Feedback,ApproachA_Feedback,Create New Field or Choose From Dropdown...,ApproachB_Error,ApproachC_Error
2025-05-04 10:08:03,2025-05-04 10:17:14,IP Address,88.232.101.129,100,550,True,2025-05-04 10:17:14,R_614ekAMVg9m7JCm,,,,,36.5922,36.1741,anonymous,EN,20,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,A vessel not under command shall keep out of the way of a vessel restricted in her ability to maneuver.,Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,High,High,High,Moderate,,High,Moderate,High,High,High,High,High,High,High,High,Moderate,High,Moderate,Moderate,Feedback Approach B,,,,,,,
2025-05-04 10:26:13,2025-05-04 10:34:34,IP Address,176.88.113.134,100,500,True,2025-05-04 10:34:35,R_8fVRrd447b70JIE,,,,,36.4167,35.8896,anonymous,EN,21,Male,Turkish,with propelling machinery onboard whether in use or not,through some exceptional circumstance is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,All of the above,Moderate,Moderate,High,Moderate,,High,High,Moderate,Moderate,High,High,Moderate,High,Moderate,Moderate,High,High,High,High,Feedback Approach C,,,,,,,
2025-05-04 11:03:22,2025-05-04 11:10:46,IP Address,46.154.247.26,100,443,True,2025-05-04 11:10:46,R_2l3mniBboZyPfzC,,,,,37.7757,29.0859,anonymous,EN,20,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,A vessel not under command shall keep out of the way of a vessel restricted in her ability to maneuver.,Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,do not impair the visibility or distinctive character of the prescribed lights,Moderate,High,Low,Moderate,,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,High,High,Low,Low,Low,Moderate,Feedback Approach A,,,,,,,
2025-05-04 11:13:57,2025-05-04 11:24:16,IP Address,188.119.17.104,100,619,True,2025-05-04 11:24:17,R_9IHhF9IV1MwJuGv,,,,,36.5922,36.1741,anonymous,EN,20,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,do not impair the visibility or distinctive character of the prescribed lights,Extremely Low,Extremely Low,Extremely Low,Extremely Low,,Extremely Low,Extremely Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,High,High,High,High,High,High,Feedback Approach C,,,,,,,
2025-05-04 11:33:35,2025-05-04 11:40:18,IP Address,94.235.250.52,100,402,True,2025-05-04 11:40:19,R_4elDUH6HFPiLRt7,,,,,37.0695,35.0907,anonymous,EN,20,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing one red light of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,High,High,High,High,,Moderate,Moderate,Moderate,High,High,High,High,High,High,High,High,High,High,High,Feedback Approach B,,,,,,,
2025-04-30 10:13:37,2025-04-30 10:13:58,IP Address,152.37.123.138,11,21,False,2025-05-07 10:13:59,R_877osR3BfNxhuma,,,,,51.5088,-0.093,anonymous,EN,64,Male,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30 10:14:20,2025-04-30 10:16:55,IP Address,152.37.123.138,37,155,False,2025-05-07 10:17:01,R_8B6P444U1zePVqV,,,,,51.5088,-0.093,anonymous,EN,64,Male,British,with propelling machinery onboard whether in use or not,through some exceptional circumstance is unable to maneuver as required by the rules,A vessel constrained by her draft shall keep out of the way of a vessel engaged in fishing.,Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel aground,Maintain course and speed and sound at least five short blasts of the whistle,do not impair the visibility or distinctive character of the prescribed lights,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30 13:52:17,2025-04-30 13:52:46,IP Address,185.118.176.155,11,29,False,2025-05-07 13:52:48,R_9dcbil7dtCHa1eO,,,,,39.9986,32.8554,anonymous,EN,27,Male,Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30 13:47:36,2025-04-30 14:02:45,IP Address,31.141.59.247,37,908,False,2025-05-07 14:02:47,R_8MXHrOqi3PD9lYJ,,,,,41.0125,28.9545,anonymous,EN,25,Male,Turkish,with propelling machinery in use,through some exceptional circumstance is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30 14:57:17,2025-04-30 14:58:25,IP Address,176.55.174.179,11,67,False,2025-05-07 14:58:28,R_970WLYjuhsIIjZX,,,,,41.0329,28.9529,anonymous,EN,33,Male,Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30 15:19:03,2025-04-30 15:20:05,IP Address,193.220.243.28,11,62,False,2025-05-07 15:20:09,R_2vOra1jPlNC6jHb,,,,,59.9463,10.7541,anonymous,EN,21,Male,Omani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08 12:04:08,2025-05-08 12:11:39,IP Address,188.92.250.35,100,451,True,2025-05-08 12:11:40,R_73331hECsneoY9M,,,,,45.4722,9.1922,anonymous,EN,22,Male,British,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Moderate,Low,Moderate,Moderate,,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Feedback Approach C,,,,,,,
2025-05-08 12:37:14,2025-05-08 12:44:55,IP Address,5.47.104.78,100,460,True,2025-05-08 12:44:56,R_4YXJbGrGcCS1Mvn,,,,,41.2798,36.3361,anonymous,EN,44,Male,Turkish,with propelling machinery in use,through some exceptional circumstance is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,High,High,High,High,,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Feedback Approach C,-,,,,,,
2025-05-08 12:30:13,2025-05-08 12:47:00,IP Address,176.42.19.20,100,1007,True,2025-05-08 12:47:01,R_9EH5H6P9C3cWfNu,,,,,39.9207,32.854,anonymous,EN,41,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,High,High,High,High,,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Feedback Approach A,,,,,,,
2025-05-08 12:41:56,2025-05-08 12:51:53,IP Address,87.53.75.6,100,596,True,2025-05-08 12:51:53,R_5PvXgwF2hVF1euV,,,,,55.9235,11.6451,anonymous,EN,37,Male,Turkish,with propelling machinery in use,has lost steering and is unable to maneuver,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,have a lesser range of visibility than the prescribed lights,Moderate,Moderate,Moderate,High,,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,Feedback Approach B,,,,,,,
2025-05-08 12:51:38,2025-05-08 12:59:47,IP Address,90.209.233.15,100,488,True,2025-05-08 12:59:47,R_8cjDRtfKa6wwAUO,,,,,50.8039,-1.1326,anonymous,EN,55,Male,British,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Moderate,Very Low,Very Low,Moderate,,Very Low,Very Low,High,High,High,Moderate,High,Low,High,High,Low,High,High,Low,Feedback Approach B,"I am not sure about helping motivate my learning with either option  ",,,,,,
2025-05-08 13:03:08,2025-05-08 13:14:27,IP Address,5.229.173.161,100,678,True,2025-05-08 13:14:28,R_9eMe94x4ooZKvbb,,,,,39.9786,32.8262,anonymous,EN,42,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,High,Moderate,Moderate,High,,High,Moderate,Moderate,Low,Moderate,Low,High,Low,Moderate,Moderate,High,Moderate,High,Moderate,Feedback Approach C,,,,,,,
2025-05-08 13:34:53,2025-05-08 13:52:12,IP Address,79.123.199.61,100,1039,True,2025-05-08 13:52:13,R_90LYStY1t8nnAPL,,,,,40.824,37.8366,anonymous,EN,33,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,All of the above,Low,Low,Low,Low,,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Feedback Approach C,,,,,,,
2025-05-08 13:45:42,2025-05-08 13:54:18,IP Address,80.187.102.92,100,516,True,2025-05-08 13:54:19,R_8a8rK0pfaPHBCQd,,,,,50.1088,8.7647,anonymous,EN,43,Male,German,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,High,High,Low,High,,High,High,Extremely Low,Low,Low,Low,Low,Low,High,High,Low,High,Low,Low,Feedback Approach A,,,,,,,
2025-05-08 15:15:42,2025-05-08 15:27:53,IP Address,80.247.136.69,100,731,True,2025-05-08 15:27:54,R_5zUXTZRrnuTgAgO,,,,,40.7126,-74.0066,anonymous,EN,33,Male,Latvian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Moderate,Moderate,High,High,,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Feedback Approach B,"Short and simple feedback is most appropriate. Including original source of rule or guideline.  ",,,,,,
2025-05-08 16:31:46,2025-05-08 16:41:19,IP Address,148.252.129.146,100,573,True,2025-05-08 16:41:21,R_8HxFUiJ5gpK9WYF,,,,,51.4964,-0.1224,anonymous,EN,64,Male,American,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Moderate,Moderate,Moderate,Moderate,,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Feedback Approach B,,,,,,,
2025-05-08 16:12:16,2025-05-08 16:47:06,IP Address,114.5.221.98,100,2089,True,2025-05-08 16:47:07,R_43DXGsJhrLPVxMT,,,,,-7.254,112.7265,anonymous,EN,31,Male,Indonesian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Low,Extremely Low,Moderate,Very Low,,Low,Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,High,Moderate,High,Moderate,Low,Feedback Approach C,,,,,,,
2025-05-08 12:39:44,2025-05-08 16:52:29,IP Address,88.234.238.253,100,15165,True,2025-05-08 16:52:30,R_22asDwVYMR4vwI9,,,,,41.0145,28.9533,anonymous,EN,43,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing two forward white towing lights in a vertical line on a towing vessel directly ahead,Slow your engines and let the other vessel pass ahead of you,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,do not impair the visibility or distinctive character of the prescribed lights,Moderate,Moderate,High,Moderate,,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Feedback Approach A,,,,,,,
2025-05-08 16:42:03,2025-05-08 16:59:19,IP Address,37.248.246.92,100,1036,True,2025-05-08 16:59:20,R_3sJjZ5ssmpobbAB,,,,,52.2265,21.0097,anonymous,EN,32,Male,Indonesian,with propelling machinery in use,through some exceptional circumstance is unable to maneuver as required by the rules,A vessel not under command shall avoid impeding the safe passage of a vessel constrained by her draft.,Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Low,Low,Feedback Approach C,,,,,,,
