StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Q35,Q56_1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q89,Q90,Q91,Q92,Q93,Q94,Q75,Q76,Q77,Q78,Q79,Q80,Q82,Q83,Q84,Q85,Q86,Q87,Q96,Q95,ApproachB_Feedback,ApproachC_Feedback,ApproachA_Feedback,Create New Field or Choose From Dropdown...
30/04/2025 15:19,30/04/2025 15:20,IP Address,193.220.243.28,11,62,FALSE,07/05/2025 15:20,R_2vOra1jPlNC6jHb,,,,,59.9463,10.7541,anonymous,EN,21,Male,Omani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2025 12:04,08/05/2025 12:11,IP Address,188.92.250.35,100,451,TRUE,08/05/2025 12:11,R_73331hECsneoY9M,,,,,45.4722,9.1922,anonymous,EN,22,Male,British,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Continuously sounding the fog whistle,High,Medium,High,High,Medium,Medium,High,High,High,High,High,High,High,Very High,Very High,Very High,High,High,Feedback Approach C,,,,,
08/05/2025 12:37,08/05/2025 12:44,IP Address,5.47.104.78,100,460,TRUE,08/05/2025 12:44,R_4YXJbGrGcCS1Mvn,,,,,41.2798,36.3361,anonymous,EN,44,Male,Turkish,with propelling machinery in use,through some exceptional circumstance is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Continuously sounding the fog whistle,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Feedback Approach C,-,,,,
08/05/2025 12:30,08/05/2025 12:47,IP Address,176.42.19.20,100,1007,TRUE,08/05/2025 12:47,R_9EH5H6P9C3cWfNu,,,,,39.9207,32.854,anonymous,EN,41,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Continuously sounding the fog whistle,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Feedback Approach A,,,,,
08/05/2025 12:41,08/05/2025 12:51,IP Address,87.53.75.6,100,596,TRUE,08/05/2025 12:51,R_5PvXgwF2hVF1euV,,,,,55.9235,11.6451,anonymous,EN,37,Male,Turkish,with propelling machinery in use,has lost steering and is unable to maneuver,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,have a lesser range of visibility than the prescribed lights,Continuously sounding the fog whistle,High,High,High,Very High,Very High,High,High,High,High,High,High,High,High,Very High,High,High,High,Very High,Feedback Approach B,,,,,
08/05/2025 12:51,08/05/2025 12:59,IP Address,90.209.233.15,100,488,TRUE,08/05/2025 12:59,R_8cjDRtfKa6wwAUO,,,,,50.8039,-1.1326,anonymous,EN,55,Male,British,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Continuously sounding the fog whistle,High,Low,Low,High,Low,Low,Very High,Very High,Very High,High,Very High,Medium,Very High,Very High,Medium,Very High,Very High,Medium,Feedback Approach B,I am not sure about helping motivate my learning with either option  ,,,,
08/05/2025 13:03,08/05/2025 13:14,IP Address,5.229.173.161,100,678,TRUE,08/05/2025 13:14,R_9eMe94x4ooZKvbb,,,,,39.9786,32.8262,anonymous,EN,42,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Sounding four or more short rapid blasts on the whistle,Very High,High,High,Very High,Very High,High,High,Medium,High,Medium,Very High,Medium,High,High,Very High,High,Very High,High,Feedback Approach C,,,,,
08/05/2025 13:34,08/05/2025 13:52,IP Address,79.123.199.61,100,1039,TRUE,08/05/2025 13:52,R_90LYStY1t8nnAPL,,,,,40.824,37.8366,anonymous,EN,33,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,All of the above,Continuously sounding the fog whistle,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,High,High,High,High,High,High,Very High,Feedback Approach C,,,,,
08/05/2025 13:45,08/05/2025 13:54,IP Address,80.187.102.92,100,516,TRUE,08/05/2025 13:54,R_8a8rK0pfaPHBCQd,,,,,50.1088,8.7647,anonymous,EN,43,Male,German,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Displaying three black balls in a vertical line,Very High,Very High,Medium,Very High,Very High,Very High,Very Low,Medium,Medium,Medium,Medium,Medium,Very High,Very High,Medium,Very High,Medium,Medium,Feedback Approach A,,,,,
08/05/2025 15:15,08/05/2025 15:27,IP Address,80.247.136.69,100,731,TRUE,08/05/2025 15:27,R_5zUXTZRrnuTgAgO,,,,,40.7126,-74.0066,anonymous,EN,33,Male,Latvian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Continuously sounding the fog whistle,High,High,Very High,Very High,High,High,High,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Feedback Approach B,Short and simple feedback is most appropriate. Including original source of rule or guideline.  ,,,,
08/05/2025 16:31,08/05/2025 16:41,IP Address,148.252.129.146,100,573,TRUE,08/05/2025 16:41,R_8HxFUiJ5gpK9WYF,,,,,51.4964,-0.1224,anonymous,EN,64,Male,American,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Continuously sounding the fog whistle,High,High,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,High,Feedback Approach B,,,,,
08/05/2025 16:12,08/05/2025 16:47,IP Address,114.5.221.98,100,2089,TRUE,08/05/2025 16:47,R_43DXGsJhrLPVxMT,,,,,-7.254,112.7265,anonymous,EN,31,Male,Indonesian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Continuously sounding the fog whistle,Medium,Very Low,High,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Very High,High,Very High,High,Medium,Feedback Approach C,,,,,
08/05/2025 12:39,08/05/2025 16:52,IP Address,88.234.238.253,100,15165,TRUE,08/05/2025 16:52,R_22asDwVYMR4vwI9,,,,,41.0145,28.9533,anonymous,EN,43,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing two forward white towing lights in a vertical line on a towing vessel directly ahead,Slow your engines and let the other vessel pass ahead of you,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,do not impair the visibility or distinctive character of the prescribed lights,Continuously sounding the fog whistle,High,High,Very High,High,High,High,High,High,Medium,High,High,High,High,High,High,Very High,High,High,Feedback Approach A,,,,,
08/05/2025 16:42,08/05/2025 16:59,IP Address,37.248.246.92,100,1036,TRUE,08/05/2025 16:59,R_3sJjZ5ssmpobbAB,,,,,52.2265,21.0097,anonymous,EN,32,Male,Indonesian,with propelling machinery in use,through some exceptional circumstance is unable to maneuver as required by the rules,A vessel not under command shall avoid impeding the safe passage of a vessel constrained by her draft.,Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Sounding four or more short rapid blasts on the whistle,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Feedback Approach C,,,,,
